City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
135,penzance,50.1186,-5.5371,10.43,85,56,7.53,GB,1682306400
136,busselton,-33.65,115.3333,14.86,63,51,7.58,AU,1682306929
137,labuhan,-6.8844,112.2051,29.47,73,98,3.9,ID,1682306929
138,grand forks,47.9417,-97.4337,-0.15,86,0,2.06,US,1682306902
139,ancud,-41.8697,-73.8203,7.74,88,1,1.68,CL,1682306929
140,laizhou,37.1717,119.9214,15.69,27,100,3.14,CN,1682306930
141,tromso,69.6496,18.957,-1.99,69,100,4.12,NO,1682306930
142,guerrero negro,27.9769,-114.0611,15.08,83,0,6.02,MX,1682306930
143,cairns,-16.9167,145.7667,30.59,91,75,5.66,AU,1682306714
144,ostrovnoy,68.0531,39.5131,-6.71,83,10,8.72,RU,1682306930
145,khatanga,71.9667,102.5,-6.25,89,16,3.42,RU,1682306930
146,kununurra,-15.7667,128.7333,31.99,37,2,4.63,AU,1682306931
147,svetlyy,54.675,20.1347,9.03,92,98,1.53,RU,1682306931
148,tocopilla,-22.092,-70.1979,19.93,82,22,2.35,CL,1682306931
149,dostpur,26.2833,82.4667,31.16,18,71,4.3,IN,1682306931
150,yulara,-25.2406,130.9889,26.58,22,13,5.85,AU,1682306931
151,rabo de peixe,37.8,-25.5833,17.73,94,75,6.69,PT,1682306931
152,neuquen,-38.9516,-68.0591,18.94,55,0,3.09,AR,1682306924
153,panaba,21.2833,-88.2667,25.63,68,21,6.4,MX,1682306931
154,anshun,26.25,105.9333,11.53,83,100,3.71,CN,1682306932
155,charters towers,-20.1,146.2667,25.34,55,100,6.55,AU,1682306932
156,clyde river,70.4692,-68.5914,-13.87,92,75,3.09,CA,1682306874
157,mount gambier,-37.8333,140.7667,22.8,38,0,3.06,AU,1682306932
158,smolenka,52.1352,113.4974,4.04,12,0,5.0,RU,1682306932
159,evensk,61.95,159.2333,1.87,88,100,9.41,RU,1682306932
160,binzhou,37.3667,118.0167,16.22,25,96,3.08,CN,1682306932
161,copiapo,-27.3667,-70.3333,13.83,79,0,0.23,CL,1682306932
162,basco,20.4487,121.9702,25.14,72,26,5.17,PH,1682306933
163,ternate,0.8,127.4,29.36,71,11,2.63,ID,1682306933
164,upernavik,72.7868,-56.1549,-0.98,98,97,1.59,GL,1682306933
165,akureyri,65.6835,-18.0878,-5.04,93,0,1.03,IS,1682306933
166,saint-augustin,51.226,-58.6502,1.09,91,1,2.19,CA,1682306933
167,bengkulu,-3.8004,102.2655,29.7,66,82,1.16,ID,1682306933
168,san ignacio,17.1561,-89.0714,27.08,69,0,3.09,BZ,1682306792
169,kazachinskoye,57.6953,93.2761,7.62,57,100,3.1,RU,1682306934
170,tuktoyaktuk,69.4541,-133.0374,-18.0,78,75,2.06,CA,1682306934
171,codrington,-38.2667,141.9667,22.66,42,0,3.57,AU,1682306934
172,khawhai,23.3667,93.1167,24.07,40,4,1.15,IN,1682306934
173,saint-philippe,-21.3585,55.7679,24.77,76,34,2.69,RE,1682306935
174,anamur,36.0751,32.8369,16.06,65,0,2.87,TR,1682306935
175,bacolod,10.6667,122.95,32.12,59,68,5.66,PH,1682306935
